month,revenue
2023-01,100.4
2023-02,102.1
2023-03,105.8
2023-04,104.3
2023-05,108.9
2023-06,111.2
2023-07,113.7
2023-08,112.5
2023-09,116.8
2023-10,119.4
2023-11,123.1
2023-12,128.7
2024-01,121.5
2024-02,124.9
2024-03,129.2
2024-04,131.0
2024-05,134.8
2024-06,138.3
2024-07,141.9
2024-08,140.2
2024-09,144.6
2024-10,148.1
2024-11,152.7
2024-12,159.3
2025-01,150.8
2025-02,154.2
2025-03,159.7
2025-04,162.4
2025-05,166.9
2025-06,171.2
2025-07,175.8
2025-08,174.1
2025-09,179.3
2025-10,183.6
2025-11,188.9
2025-12,196.2
